Czas[s]	Masa[g]
2026-01-12 21:11:27.730669	70.000
2026-01-12 21:11:27.859954	1.000
2026-01-12 21:11:27.869926	74.000
2026-01-12 21:11:27.877307	42.000
2026-01-12 21:11:27.887451	72.000
2026-01-12 21:11:27.897480	8.000
2026-01-12 21:11:27.908284	40.000
2026-01-12 21:11:27.918535	20.000
2026-01-12 21:11:27.928160	2.000
2026-01-12 21:11:27.938167	31.000
2026-01-12 21:11:27.948383	19.000
2026-01-12 21:11:27.958149	31.000
2026-01-12 21:11:27.968029	41.000
2026-01-12 21:11:27.978081	44.000
2026-01-12 21:11:27.988226	27.000
2026-01-12 21:11:27.997599	80.000
2026-01-12 21:11:28.008465	61.000
2026-01-12 21:11:28.018584	21.000
2026-01-12 21:11:28.028496	89.000
2026-01-12 21:11:28.038067	34.000
2026-01-12 21:11:28.047573	44.000
2026-01-12 21:11:28.058604	1.000
2026-01-12 21:11:28.068499	22.000
2026-01-12 21:11:28.078409	51.000
2026-01-12 21:11:28.087870	78.000
2026-01-12 21:11:28.097601	56.000
2026-01-12 21:11:28.108474	74.000
2026-01-12 21:11:28.118015	92.000
2026-01-12 21:11:28.128565	71.000
2026-01-12 21:11:28.138479	43.000
2026-01-12 21:11:28.148147	3.000
2026-01-12 21:11:28.158056	93.000
2026-01-12 21:11:28.168478	64.000
2026-01-12 21:11:28.177635	65.000
2026-01-12 21:11:28.188724	56.000
2026-01-12 21:11:28.198962	44.000
2026-01-12 21:11:28.208231	29.000
2026-01-12 21:11:28.218561	84.000
2026-01-12 21:11:28.228550	89.000
2026-01-12 21:11:28.237510	74.000
2026-01-12 21:11:28.248124	43.000
2026-01-12 21:11:28.258234	80.000
2026-01-12 21:11:28.268155	79.000
2026-01-12 21:11:28.278448	12.000
2026-01-12 21:11:28.288069	28.000
2026-01-12 21:11:28.297639	49.000
2026-01-12 21:11:28.308607	50.000
2026-01-12 21:11:28.318475	42.000
2026-01-12 21:11:28.327837	85.000
2026-01-12 21:11:28.337523	27.000
2026-01-12 21:11:28.347640	46.000
2026-01-12 21:11:28.357697	48.000
2026-01-12 21:11:28.367751	85.000
2026-01-12 21:11:28.377729	54.000
2026-01-12 21:11:28.388289	66.000
2026-01-12 21:11:28.397940	21.000
2026-01-12 21:11:28.408232	58.000
2026-01-12 21:11:28.418613	3.000
2026-01-12 21:11:28.428437	10.000
2026-01-12 21:11:28.438347	88.000
2026-01-12 21:11:28.447684	75.000
2026-01-12 21:11:28.457782	10.000
2026-01-12 21:11:28.467751	85.000
2026-01-12 21:11:28.477777	43.000
2026-01-12 21:11:28.487840	75.000
2026-01-12 21:11:28.497737	69.000
2026-01-12 21:11:28.508143	87.000
2026-01-12 21:11:28.517695	46.000
2026-01-12 21:11:28.528092	54.000
2026-01-12 21:11:28.538369	27.000
2026-01-12 21:11:28.548362	58.000
2026-01-12 21:11:28.557375	14.000
2026-01-12 21:11:28.567431	31.000
2026-01-12 21:11:28.577346	94.000
2026-01-12 21:11:28.587718	72.000
2026-01-12 21:11:28.598074	86.000
2026-01-12 21:11:28.608005	21.000
2026-01-12 21:11:28.617992	67.000
2026-01-12 21:11:28.628498	26.000
2026-01-12 21:11:28.638404	96.000
2026-01-12 21:11:28.648359	3.000
2026-01-12 21:11:28.658149	94.000
2026-01-12 21:11:28.668150	7.000
2026-01-12 21:11:28.678418	78.000
2026-01-12 21:11:28.688222	96.000
2026-01-12 21:11:28.698446	43.000
2026-01-12 21:11:28.707984	34.000
2026-01-12 21:11:28.718244	90.000
2026-01-12 21:11:28.728548	92.000
2026-01-12 21:11:28.738311	40.000
2026-01-12 21:11:28.747361	85.000
2026-01-12 21:11:28.758277	53.000
2026-01-12 21:11:28.767449	47.000
2026-01-12 21:11:28.778247	4.000
2026-01-12 21:11:28.788091	35.000
2026-01-12 21:11:28.798077	25.000
2026-01-12 21:11:28.807847	69.000
2026-01-12 21:11:28.818221	93.000
2026-01-12 21:11:28.828202	25.000
2026-01-12 21:11:28.837799	37.000
2026-01-12 21:11:28.848351	49.000
2026-01-12 21:11:28.858641	25.000
2026-01-12 21:11:28.868433	13.000
2026-01-12 21:11:28.878233	43.000
2026-01-12 21:11:28.888454	47.000
2026-01-12 21:11:28.898495	14.000
2026-01-12 21:11:28.908480	58.000
2026-01-12 21:11:28.918413	76.000
2026-01-12 21:11:28.928398	17.000
2026-01-12 21:11:28.938472	7.000
2026-01-12 21:11:28.948401	39.000
2026-01-12 21:11:28.958439	10.000
2026-01-12 21:11:28.968508	50.000
2026-01-12 21:11:28.978474	46.000
2026-01-12 21:11:28.988492	55.000
2026-01-12 21:11:28.998581	5.000
2026-01-12 21:11:29.008418	34.000
2026-01-12 21:11:29.018073	94.000
2026-01-12 21:11:29.028469	99.000
2026-01-12 21:11:29.038477	25.000
2026-01-12 21:11:29.048231	14.000
2026-01-12 21:11:29.057983	96.000
2026-01-12 21:11:29.068528	3.000
2026-01-12 21:11:29.078609	87.000
2026-01-12 21:11:29.088465	27.000
2026-01-12 21:11:29.097537	83.000
2026-01-12 21:11:29.108625	98.000
2026-01-12 21:11:29.117569	8.000
2026-01-12 21:11:29.128413	72.000
2026-01-12 21:11:29.138546	34.000
2026-01-12 21:11:29.148529	51.000
2026-01-12 21:11:29.157789	76.000
2026-01-12 21:11:29.168589	28.000
2026-01-12 21:11:29.177784	86.000
2026-01-12 21:11:29.187848	67.000
2026-01-12 21:11:29.198534	16.000
2026-01-12 21:11:29.208482	69.000
2026-01-12 21:11:29.218877	74.000
2026-01-12 21:11:29.228584	44.000
2026-01-12 21:11:29.237597	11.000
2026-01-12 21:11:29.248285	59.000
2026-01-12 21:11:29.258571	28.000
2026-01-12 21:11:29.268375	73.000
2026-01-12 21:11:29.278413	32.000
2026-01-12 21:11:29.287565	83.000
2026-01-12 21:11:29.297953	51.000
2026-01-12 21:11:29.308509	44.000
2026-01-12 21:11:29.318177	56.000
2026-01-12 21:11:29.328204	69.000
2026-01-12 21:11:29.338664	18.000
2026-01-12 21:11:29.348254	87.000
2026-01-12 21:11:29.358180	55.000
2026-01-12 21:11:29.368203	46.000
2026-01-12 21:11:29.378560	91.000
2026-01-12 21:11:29.388670	97.000
2026-01-12 21:11:29.398279	90.000
2026-01-12 21:11:29.407649	22.000
2026-01-12 21:11:29.417873	43.000
2026-01-12 21:11:29.427691	23.000
2026-01-12 21:11:29.438706	98.000
2026-01-12 21:11:29.448474	86.000
2026-01-12 21:11:29.457955	74.000
2026-01-12 21:11:29.468447	75.000
2026-01-12 21:11:29.478572	10.000
2026-01-12 21:11:29.488462	91.000
2026-01-12 21:11:29.497775	70.000
2026-01-12 21:11:29.507921	83.000
2026-01-12 21:11:29.518409	18.000
2026-01-12 21:11:29.528774	8.000
2026-01-12 21:11:29.538420	80.000
2026-01-12 21:11:29.548456	40.000
2026-01-12 21:11:29.558465	52.000
2026-01-12 21:11:29.568062	84.000
2026-01-12 21:11:29.578509	30.000
2026-01-12 21:11:29.588425	68.000
2026-01-12 21:11:29.598460	40.000
2026-01-12 21:11:29.608188	75.000
2026-01-12 21:11:29.618475	41.000
2026-01-12 21:11:29.628445	57.000
2026-01-12 21:11:29.638343	29.000
2026-01-12 21:11:29.648469	19.000
2026-01-12 21:11:29.658415	15.000
2026-01-12 21:11:29.668608	30.000
2026-01-12 21:11:29.678510	63.000
2026-01-12 21:11:29.687653	4.000
2026-01-12 21:11:29.698423	12.000
2026-01-12 21:11:29.708484	42.000
2026-01-12 21:11:29.717810	76.000
2026-01-12 21:11:29.728424	73.000
2026-01-12 21:11:29.738430	73.000
2026-01-12 21:11:29.748284	23.000
2026-01-12 21:11:29.758418	47.000
2026-01-12 21:11:29.768510	22.000
2026-01-12 21:11:29.778362	28.000
2026-01-12 21:11:29.788420	20.000
2026-01-12 21:11:29.798426	1.000
2026-01-12 21:11:29.809321	15.000
2026-01-12 21:11:29.818546	4.000
2026-01-12 21:11:29.827981	56.000
2026-01-12 21:11:29.838451	98.000
2026-01-12 21:11:29.848453	74.000
2026-01-12 21:11:29.858365	89.000
2026-01-12 21:11:29.868466	90.000
2026-01-12 21:11:29.878465	21.000
2026-01-12 21:11:29.888051	68.000
2026-01-12 21:11:29.898446	33.000
2026-01-12 21:11:29.908518	25.000
2026-01-12 21:11:29.918636	38.000
2026-01-12 21:11:29.928496	82.000
2026-01-12 21:11:29.938527	93.000
2026-01-12 21:11:29.948455	43.000
2026-01-12 21:11:29.958480	45.000
2026-01-12 21:11:29.968124	40.000
2026-01-12 21:11:29.978474	70.000
2026-01-12 21:11:29.988454	84.000
2026-01-12 21:11:29.997690	48.000
2026-01-12 21:11:30.008433	20.000
2026-01-12 21:11:30.017863	80.000
2026-01-12 21:11:30.027492	65.000
2026-01-12 21:11:30.038421	53.000
2026-01-12 21:11:30.048519	68.000
2026-01-12 21:11:30.058883	50.000
2026-01-12 21:11:30.068527	41.000
2026-01-12 21:11:30.078093	15.000
2026-01-12 21:11:30.088676	83.000
2026-01-12 21:11:30.098708	32.000
2026-01-12 21:11:30.108228	33.000
2026-01-12 21:11:30.118569	47.000
2026-01-12 21:11:30.128504	84.000
2026-01-12 21:11:30.138088	12.000
2026-01-12 21:11:30.148013	43.000
2026-01-12 21:11:30.158325	87.000
2026-01-12 21:11:30.168573	68.000
2026-01-12 21:11:30.177574	56.000
2026-01-12 21:11:30.188490	60.000
2026-01-12 21:11:30.198118	53.000
2026-01-12 21:11:30.207748	49.000
2026-01-12 21:11:30.218399	8.000
2026-01-12 21:11:30.227876	39.000
2026-01-12 21:11:30.237772	45.000
2026-01-12 21:11:30.247612	3.000
2026-01-12 21:11:30.257606	64.000
2026-01-12 21:11:30.268105	42.000
2026-01-12 21:11:30.278516	40.000
2026-01-12 21:11:30.288573	44.000
2026-01-12 21:11:30.297997	14.000
2026-01-12 21:11:30.308543	76.000
2026-01-12 21:11:30.318472	8.000
2026-01-12 21:11:30.328542	38.000
2026-01-12 21:11:30.338542	19.000
2026-01-12 21:11:30.348569	53.000
2026-01-12 21:11:30.358494	18.000
2026-01-12 21:11:30.368178	27.000
2026-01-12 21:11:30.378655	83.000
2026-01-12 21:11:30.388515	39.000
2026-01-12 21:11:30.398156	25.000
2026-01-12 21:11:30.408529	51.000
2026-01-12 21:11:30.418130	50.000
2026-01-12 21:11:30.428608	11.000
2026-01-12 21:11:30.438516	17.000
2026-01-12 21:11:30.448423	39.000
2026-01-12 21:11:30.458505	68.000
