Czas	Masa[g]
2026-01-12 21:13:15.940546	96.000
2026-01-12 21:13:15.988970	76.000
2026-01-12 21:13:16.049420	44.000
2026-01-12 21:13:16.108418	61.000
2026-01-12 21:13:16.180064	44.000
2026-01-12 21:13:16.242328	38.000
2026-01-12 21:13:16.305599	54.000
2026-01-12 21:13:16.364541	44.000
2026-01-12 21:13:16.424442	70.000
2026-01-12 21:13:16.484585	2.000
2026-01-12 21:13:16.546502	59.000
2026-01-12 21:13:16.611971	24.000
2026-01-12 21:13:16.674387	15.000
2026-01-12 21:13:16.733572	29.000
2026-01-12 21:13:16.796440	67.000
2026-01-12 21:13:16.858448	42.000
2026-01-12 21:13:16.926255	3.000
2026-01-12 21:13:16.986505	99.000
2026-01-12 21:13:17.054991	17.000
2026-01-12 21:13:17.108738	77.000
2026-01-12 21:13:17.176898	55.000
2026-01-12 21:13:17.243151	82.000
2026-01-12 21:13:17.305234	4.000
2026-01-12 21:13:17.365259	58.000
2026-01-12 21:13:17.425330	1.000
2026-01-12 21:13:17.485170	82.000
2026-01-12 21:13:17.545857	94.000
2026-01-12 21:13:17.612459	34.000
2026-01-12 21:13:17.676742	76.000
2026-01-12 21:13:17.736310	75.000
2026-01-12 21:13:17.797163	58.000
2026-01-12 21:13:17.858083	1.000
2026-01-12 21:13:17.920056	30.000
2026-01-12 21:13:17.992294	38.000
2026-01-12 21:13:18.054681	38.000
2026-01-12 21:13:18.115533	83.000
2026-01-12 21:13:18.366931	23.000
2026-01-12 21:13:18.428073	11.000
2026-01-12 21:13:18.490299	70.000
2026-01-12 21:13:18.552644	50.000
2026-01-12 21:13:18.614212	1.000
2026-01-12 21:13:18.675396	20.000
2026-01-12 21:13:18.786419	70.000
2026-01-12 21:13:18.797691	33.000
2026-01-12 21:13:18.859844	18.000
2026-01-12 21:13:18.920491	81.000
2026-01-12 21:13:18.985504	63.000
2026-01-12 21:13:19.047439	11.000
2026-01-12 21:13:19.108784	10.000
2026-01-12 21:13:19.171198	97.000
2026-01-12 21:13:19.233922	27.000
2026-01-12 21:13:19.304976	92.000
2026-01-12 21:13:19.367017	67.000
2026-01-12 21:13:19.429334	55.000
2026-01-12 21:13:19.490881	62.000
2026-01-12 21:13:19.554062	47.000
2026-01-12 21:13:19.616529	14.000
2026-01-12 21:13:19.678520	66.000
2026-01-12 21:13:19.743124	44.000
2026-01-12 21:13:19.804530	91.000
2026-01-12 21:13:19.865605	34.000
2026-01-12 21:13:19.927643	58.000
2026-01-12 21:13:19.989935	41.000
2026-01-12 21:13:20.050961	47.000
2026-01-12 21:13:20.112764	55.000
2026-01-12 21:13:20.174944	39.000
2026-01-12 21:13:20.234314	77.000
2026-01-12 21:13:20.296701	29.000
2026-01-12 21:13:20.358406	39.000
2026-01-12 21:13:20.421036	59.000
2026-01-12 21:13:20.482473	4.000
2026-01-12 21:13:20.555176	60.000
2026-01-12 21:13:20.607733	14.000
2026-01-12 21:13:20.669972	5.000
2026-01-12 21:13:20.740555	34.000
2026-01-12 21:13:20.801983	71.000
2026-01-12 21:13:20.864186	29.000
2026-01-12 21:13:20.926006	98.000
2026-01-12 21:13:20.988463	96.000
2026-01-12 21:13:21.048710	48.000
2026-01-12 21:13:21.111076	19.000
2026-01-12 21:13:21.172452	71.000
2026-01-12 21:13:21.235253	72.000
2026-01-12 21:13:21.298016	92.000
2026-01-12 21:13:21.360361	87.000
2026-01-12 21:13:21.422963	95.000
2026-01-12 21:13:21.484976	1.000
2026-01-12 21:13:21.546186	35.000
2026-01-12 21:13:21.608440	85.000
2026-01-12 21:13:21.670487	28.000
2026-01-12 21:13:21.800011	78.000
2026-01-12 21:13:21.804988	21.000
2026-01-12 21:13:21.866372	24.000
2026-01-12 21:13:21.928802	22.000
2026-01-12 21:13:21.990580	30.000
2026-01-12 21:13:22.051735	32.000
2026-01-12 21:13:22.114620	7.000
2026-01-12 21:13:22.177154	36.000
2026-01-12 21:13:22.239863	19.000
2026-01-12 21:13:22.301918	3.000
2026-01-12 21:13:22.364402	15.000
2026-01-12 21:13:22.427176	87.000
2026-01-12 21:13:22.488522	41.000
2026-01-12 21:13:22.550835	7.000
2026-01-12 21:13:22.613185	37.000
2026-01-12 21:13:22.676043	55.000
2026-01-12 21:13:22.738886	15.000
2026-01-12 21:13:22.800080	82.000
2026-01-12 21:13:22.862312	96.000
2026-01-12 21:13:22.924656	31.000
2026-01-12 21:13:22.986777	36.000
2026-01-12 21:13:23.049216	68.000
2026-01-12 21:13:23.111847	96.000
2026-01-12 21:13:23.174002	62.000
2026-01-12 21:13:23.236867	23.000
2026-01-12 21:13:23.299783	56.000
2026-01-12 21:13:23.362448	34.000
2026-01-12 21:13:23.424614	20.000
2026-01-12 21:13:23.487330	82.000
2026-01-12 21:13:23.550321	8.000
2026-01-12 21:13:23.612354	46.000
2026-01-12 21:13:23.674621	20.000
2026-01-12 21:13:23.740758	35.000
2026-01-12 21:13:23.801254	69.000
2026-01-12 21:13:23.863248	71.000
2026-01-12 21:13:23.926416	83.000
2026-01-12 21:13:23.988252	19.000
2026-01-12 21:13:24.050612	93.000
2026-01-12 21:13:24.112953	10.000
2026-01-12 21:13:24.175632	5.000
2026-01-12 21:13:24.236753	85.000
2026-01-12 21:13:24.299149	77.000
2026-01-12 21:13:24.361128	77.000
2026-01-12 21:13:24.423711	83.000
2026-01-12 21:13:24.487539	20.000
2026-01-12 21:13:24.549979	76.000
2026-01-12 21:13:24.611684	77.000
2026-01-12 21:13:24.673548	87.000
2026-01-12 21:13:24.793231	35.000
2026-01-12 21:13:24.797724	62.000
2026-01-12 21:13:24.859794	71.000
2026-01-12 21:13:24.922031	70.000
2026-01-12 21:13:24.984599	14.000
2026-01-12 21:13:25.045908	44.000
2026-01-12 21:13:25.108102	9.000
2026-01-12 21:13:25.170834	91.000
2026-01-12 21:13:25.233134	17.000
2026-01-12 21:13:25.303477	38.000
2026-01-12 21:13:25.364770	45.000
2026-01-12 21:13:25.426439	11.000
2026-01-12 21:13:25.488368	35.000
2026-01-12 21:13:25.549803	59.000
2026-01-12 21:13:25.611466	54.000
2026-01-12 21:13:25.674624	42.000
2026-01-12 21:13:25.745500	81.000
2026-01-12 21:13:25.797842	20.000
2026-01-12 21:13:25.860005	11.000
2026-01-12 21:13:25.922630	55.000
2026-01-12 21:13:25.985768	12.000
2026-01-12 21:13:26.047666	43.000
2026-01-12 21:13:26.108984	3.000
2026-01-12 21:13:26.172392	39.000
2026-01-12 21:13:26.234804	15.000
2026-01-12 21:13:26.297102	61.000
2026-01-12 21:13:26.358836	12.000
2026-01-12 21:13:26.419898	55.000
2026-01-12 21:13:26.482778	37.000
2026-01-12 21:13:26.555319	67.000
2026-01-12 21:13:26.607537	63.000
2026-01-12 21:13:26.679729	26.000
2026-01-12 21:13:26.742197	11.000
2026-01-12 21:13:26.805114	4.000
2026-01-12 21:13:26.867582	52.000
2026-01-12 21:13:26.929295	9.000
2026-01-12 21:13:26.991629	20.000
2026-01-12 21:13:27.052879	66.000
2026-01-12 21:13:27.116168	29.000
2026-01-12 21:13:27.178546	39.000
2026-01-12 21:13:27.240485	57.000
2026-01-12 21:13:27.303231	66.000
2026-01-12 21:13:27.365052	90.000
2026-01-12 21:13:27.428730	67.000
2026-01-12 21:13:27.490997	56.000
2026-01-12 21:13:27.551893	51.000
2026-01-12 21:13:27.614399	67.000
2026-01-12 21:13:27.677265	13.000
2026-01-12 21:13:27.805999	68.000
2026-01-12 21:13:27.863204	43.000
2026-01-12 21:13:27.926623	54.000
2026-01-12 21:13:27.989211	54.000
2026-01-12 21:13:28.051070	43.000
2026-01-12 21:13:28.113651	17.000
2026-01-12 21:13:28.175595	50.000
2026-01-12 21:13:28.238269	9.000
2026-01-12 21:13:28.300795	67.000
2026-01-12 21:13:28.362506	20.000
2026-01-12 21:13:28.424432	9.000
2026-01-12 21:13:28.486821	87.000
2026-01-12 21:13:28.549873	19.000
2026-01-12 21:13:28.612831	26.000
2026-01-12 21:13:28.675506	17.000
2026-01-12 21:13:28.744962	16.000
2026-01-12 21:13:28.800948	28.000
2026-01-12 21:13:28.862394	8.000
2026-01-12 21:13:28.924577	76.000
2026-01-12 21:13:28.986264	25.000
2026-01-12 21:13:29.058514	40.000
2026-01-12 21:13:29.109830	20.000
2026-01-12 21:13:29.172886	42.000
2026-01-12 21:13:29.235761	9.000
2026-01-12 21:13:29.297330	10.000
2026-01-12 21:13:29.359540	89.000
2026-01-12 21:13:29.422459	74.000
2026-01-12 21:13:29.484774	7.000
2026-01-12 21:13:29.547152	60.000
2026-01-12 21:13:29.609816	79.000
2026-01-12 21:13:29.671920	55.000
2026-01-12 21:13:29.739016	81.000
2026-01-12 21:13:29.799417	87.000
2026-01-12 21:13:29.861667	86.000
2026-01-12 21:13:29.924267	21.000
2026-01-12 21:13:29.986722	96.000
2026-01-12 21:13:30.055545	60.000
2026-01-12 21:13:30.109643	83.000
2026-01-12 21:13:30.171612	69.000
2026-01-12 21:13:30.243249	73.000
2026-01-12 21:13:30.304144	22.000
2026-01-12 21:13:30.364873	80.000
2026-01-12 21:13:30.421916	85.000
2026-01-12 21:13:30.486854	97.000
2026-01-12 21:13:30.549052	73.000
2026-01-12 21:13:30.610892	42.000
2026-01-12 21:13:30.678252	53.000
2026-01-12 21:13:30.792934	61.000
2026-01-12 21:13:30.799254	45.000
2026-01-12 21:13:30.864213	93.000
2026-01-12 21:13:30.926183	22.000
2026-01-12 21:13:30.988033	87.000
2026-01-12 21:13:31.045060	99.000
2026-01-12 21:13:31.116437	79.000
2026-01-12 21:13:31.179172	48.000
2026-01-12 21:13:31.236591	78.000
2026-01-12 21:13:31.296464	1.000
2026-01-12 21:13:31.364867	34.000
2026-01-12 21:13:31.426175	91.000
2026-01-12 21:13:31.486997	16.000
2026-01-12 21:13:31.548481	96.000
2026-01-12 21:13:31.610005	12.000
2026-01-12 21:13:31.672341	29.000
2026-01-12 21:13:31.734607	1.000
2026-01-12 21:13:31.800611	78.000
2026-01-12 21:13:31.869423	92.000
2026-01-12 21:13:31.931108	17.000
2026-01-12 21:13:31.983587	3.000
2026-01-12 21:13:32.046288	13.000
2026-01-12 21:13:32.115278	80.000
2026-01-12 21:13:32.177802	82.000
2026-01-12 21:13:32.239824	13.000
2026-01-12 21:13:32.301909	92.000
2026-01-12 21:13:32.363807	87.000
2026-01-12 21:13:32.424637	53.000
2026-01-12 21:13:32.485956	78.000
2026-01-12 21:13:32.545142	84.000
2026-01-12 21:13:32.608672	79.000
2026-01-12 21:13:32.670428	15.000
2026-01-12 21:13:32.742077	13.000
2026-01-12 21:13:32.802575	1.000
2026-01-12 21:13:32.864337	53.000
2026-01-12 21:13:32.925641	2.000
2026-01-12 21:13:32.983938	77.000
2026-01-12 21:13:33.059526	66.000
2026-01-12 21:13:33.110957	18.000
2026-01-12 21:13:33.172729	42.000
2026-01-12 21:13:33.234042	8.000
2026-01-12 21:13:33.298044	20.000
2026-01-12 21:13:33.361266	6.000
2026-01-12 21:13:33.421839	59.000
2026-01-12 21:13:33.483851	70.000
2026-01-12 21:13:33.548368	38.000
2026-01-12 21:13:33.615130	24.000
2026-01-12 21:13:33.675540	11.000
2026-01-12 21:13:33.781897	68.000
2026-01-12 21:13:33.796925	28.000
2026-01-12 21:13:33.859649	63.000
2026-01-12 21:13:33.921720	88.000
2026-01-12 21:13:33.983369	36.000
2026-01-12 21:13:34.044977	16.000
2026-01-12 21:13:34.117694	58.000
2026-01-12 21:13:34.179992	87.000
2026-01-12 21:13:34.233507	26.000
2026-01-12 21:13:34.295751	35.000
2026-01-12 21:13:34.361410	66.000
2026-01-12 21:13:34.427873	78.000
2026-01-12 21:13:34.502341	94.000
2026-01-12 21:13:34.549752	61.000
2026-01-12 21:13:34.608702	54.000
2026-01-12 21:13:34.677131	3.000
2026-01-12 21:13:34.737916	47.000
2026-01-12 21:13:34.795575	86.000
2026-01-12 21:13:34.866186	60.000
2026-01-12 21:13:34.930375	47.000
2026-01-12 21:13:34.988185	64.000
2026-01-12 21:13:35.053111	1.000
2026-01-12 21:13:35.118342	84.000
2026-01-12 21:13:35.184494	15.000
2026-01-12 21:13:35.242722	54.000
2026-01-12 21:13:35.308436	84.000
2026-01-12 21:13:35.367876	66.000
2026-01-12 21:13:35.425613	65.000
2026-01-12 21:13:35.485862	25.000
2026-01-12 21:13:35.547190	99.000
2026-01-12 21:13:35.624013	94.000
2026-01-12 21:13:35.688438	95.000
2026-01-12 21:13:35.749348	87.000
2026-01-12 21:13:35.813358	70.000
2026-01-12 21:13:35.875283	62.000
2026-01-12 21:13:35.937627	87.000
2026-01-12 21:13:35.998504	86.000
2026-01-12 21:13:36.068269	11.000
2026-01-12 21:13:36.128183	44.000
2026-01-12 21:13:36.189131	35.000
2026-01-12 21:13:36.255606	10.000
2026-01-12 21:13:36.314720	83.000
2026-01-12 21:13:36.380157	46.000
2026-01-12 21:13:36.440675	50.000
2026-01-12 21:13:36.500891	98.000
2026-01-12 21:13:36.567262	79.000
2026-01-12 21:13:36.627893	96.000
2026-01-12 21:13:36.688807	89.000
2026-01-12 21:13:36.839369	96.000
2026-01-12 21:13:36.878534	46.000
2026-01-12 21:13:36.936279	39.000
2026-01-12 21:13:37.003110	99.000
2026-01-12 21:13:37.066125	98.000
2026-01-12 21:13:37.124396	79.000
2026-01-12 21:13:37.189184	50.000
2026-01-12 21:13:37.249026	8.000
2026-01-12 21:13:37.316335	14.000
2026-01-12 21:13:37.379761	15.000
2026-01-12 21:13:37.447189	33.000
2026-01-12 21:13:37.504858	70.000
2026-01-12 21:13:37.568483	31.000
2026-01-12 21:13:37.623329	66.000
2026-01-12 21:13:37.689545	72.000
2026-01-12 21:13:37.763212	2.000
2026-01-12 21:13:37.821375	86.000
2026-01-12 21:13:37.882695	48.000
2026-01-12 21:13:37.944796	80.000
2026-01-12 21:13:38.007198	61.000
2026-01-12 21:13:38.069378	14.000
2026-01-12 21:13:38.125705	47.000
2026-01-12 21:13:38.196667	69.000
2026-01-12 21:13:38.264761	93.000
2026-01-12 21:13:38.330906	3.000
2026-01-12 21:13:38.393657	65.000
2026-01-12 21:13:38.456678	18.000
