Czas[s]	Masa[g]
0.001	0.000
0.004	0.000
0.006	0.000
0.009	0.000
0.011	0.000
0.063	0.000
0.397	0.000
0.466	0.000
0.468	0.000
0.471	0.000
0.623	0.000
0.745	0.000
0.874	0.000
1.006	0.000
1.093	0.000
1.095	0.000
1.098	0.000
1.165	0.000
1.297	0.000
1.373	0.000
1.498	0.000
1.504	0.000
1.630	0.000
1.708	0.000
1.824	0.000
1.919	0.000
2.015	0.000
2.123	1.550
2.205	27.300
2.328	66.300
2.330	92.600
2.430	110.800
2.520	129.350
2.659	143.950
2.750	149.250
2.825	146.800
2.940	143.800
3.050	141.100
3.052	138.050
3.161	133.400
3.255	112.150
3.348	59.900
3.440	13.400
3.576	0.450
3.656	0.100
3.677	7.500
3.798	43.300
3.890	94.150
4.009	131.100
4.121	151.450
4.218	153.050
4.222	136.500
4.351	108.450
4.455	68.400
4.538	24.900
4.617	14.400
4.742	39.300
4.836	44.550
4.850	62.500
4.968	107.700
5.033	125.050
5.140	131.550
5.225	134.850
5.341	96.850
5.484	32.700
5.589	4.050
5.708	19.050
5.809	72.800
5.891	138.400
5.894	169.900
6.000	156.600
6.103	107.850
6.111	48.100
6.206	10.450
6.308	8.400
6.436	54.500
6.545	121.450
6.659	134.300
6.726	95.550
6.741	52.850
6.878	18.900
6.970	2.150
7.058	0.000
7.177	0.000
7.179	0.000
7.304	0.000
7.395	0.000
7.494	0.000
7.586	0.000
7.730	0.000
7.820	0.000
7.822	0.000
7.907	0.000
8.023	0.000
8.099	0.000
8.239	0.000
8.325	0.000
8.420	0.000
8.439	0.000
8.535	0.000
8.638	0.000
8.751	0.000
8.846	0.000
8.925	0.000
9.017	0.000
9.154	0.000
9.159	0.000
9.288	0.000
9.379	0.000
9.508	0.000
9.651	0.000
9.765	0.000
9.911	0.000
10.016	0.000
10.092	0.000
10.094	0.000
10.097	0.000
10.175	0.000
10.332	0.000
10.396	0.000
10.421	0.000
10.526	0.000
10.610	0.000
10.721	0.000
10.819	0.000
10.921	0.000
11.036	0.000
11.116	0.000
11.142	0.000
11.244	0.000
11.432	0.000
11.555	0.000
11.654	0.000
11.657	0.000
11.727	0.000
11.927	0.000
12.012	0.000
12.014	0.000
12.135	0.000
12.223	0.000
12.225	0.000
12.326	0.000
